"UMAP_1" "UMAP_2" "CellPopulation"
"85" 2.91988246751794 -1.33138617163436 "Spongy mesophyll"
"86" 3.54001849008569 8.99628511780961 "Phloem parenchyma"
"87" 2.66551654649743 -5.38634999876754 "Palisade mesophyll"
"88" 2.37796514345178 -6.63902362471358 "Palisade mesophyll"
"89" 1.51838379217157 -1.65848644858138 "Spongy mesophyll"
"90" 1.50055580450067 -0.664306842143696 "Early spongy mesophyll"
"91" 3.53849213434228 -3.20005019789473 "Spongy mesophyll"
"92" 1.32400595260629 -3.0859936106755 "Spongy mesophyll"
"93" 1.49368195844659 -6.2963937151982 "Palisade mesophyll"
"94" 2.67911928010949 -4.83769401198165 "Spongy mesophyll"
"95" 4.41047351671228 2.52695778722032 "Late bundle sheath"
"96" 4.08766691995629 3.51653901452287 "Late bundle sheath"
"97" 1.2063825042344 -5.10346015578048 "Palisade mesophyll"
